LATITUDE,LONGITUDE,FIRE_SIZE
30.97348025,-92.78937729,3.0
30.97748198,-92.77701525,1.0
30.95428626,-92.80667648,6.0
31.025,-92.83969,0.5
30.96833,-92.78056,0.25
30.98611,-92.79361,5.0
31.00889,-92.87278,0.75
31.04806,-92.74555,3.0
30.96583,-92.78083,4.0
31.0775,-92.78889,1.0
31.04806,-92.86667,0.5
31.0475,-92.77778,0.5
31.0175,-92.76,0.5
31.04778,-92.87639,0.5
31.04833,-92.82555,0.25
31.03938,-92.8754,2.5
30.9775,-92.7825,0.75
30.94806,-92.82139,2.0
31.05056,-92.84889,6.0
30.93856,-92.79828,0.5
30.98789,-92.78264,20.5
30.97694,-92.7983,16.0
30.94637,-92.76703,23.5
30.93493,-92.86722,605.0
30.9792,-92.90388,16.0
30.96792,-92.90388,16.0
30.94808,-92.76747,0.75
30.99594,-92.72339,6.0
31.00827,-92.71769,9.5
31.00827,-92.71769,22.0
30.95741,-92.80286,6.0
31.06766,-92.74164,135.5
30.98156,-92.79678,2.5
30.98684,-92.74876,17.0
30.92992,-92.73217,5.5
31.00816,-92.82819,23.5
30.95787,-92.80245,8.5
30.99742,-92.80277,16.0
30.95043,-92.84557,2.5
31.00636,-92.82823,1.5
30.98368,-92.79787,4.5
30.9583,-92.7642,3.0
30.9436,-92.8156,3.0
31.0617,-92.7464,12.0
31.0331,-92.7847,20.0
30.9286,-92.7528,1.0
30.9583,-92.7983,3.0
30.9286,-92.7294,2.0
30.9733,-92.7981,1.0
30.9436,-92.7642,1.0
30.9436,-92.7642,2.0
30.9583,-92.7642,1.0
30.9583,-92.7294,3.0
30.9733,-92.7294,2.0
30.9436,-92.7642,3.0
30.9583,-92.7442,5.0
30.9289,-92.7639,2.0
30.9289,-92.7639,3.0
30.9436,-92.7642,1.0
30.9289,-92.7811,0.1
30.9878,-92.7639,3.0
30.9731,-92.7442,2.0
30.9436,-92.8156,0.1
30.9583,-92.7814,0.1
30.9878,-92.7639,0.1
30.9733,-92.8153,3.0
30.9586,-92.8156,1.0
31.0183,-92.8019,3.0
30.9583,-92.7983,1.0
30.9583,-92.7442,3.0
30.9881,-92.7983,2.0
30.9436,-92.7642,2.0
30.9878,-92.7811,1.0
30.9878,-92.7811,3.0
30.9436,-92.7811,10.0
31.0181,-92.7314,10.0
30.9583,-92.7983,0.1
30.9583,-92.7983,1.0
