fire_name,grid_row,grid_col,fire_lat,fire_lon,min_dist_to_camera_m,min_dist_to_camera_km,detected
Creek_2022-CASHF-000785,170,236,41.377997,-122.065106,12196.6,12.197,1
Creekside_2022-CASRF-000250,186,100,40.903809,-123.594097,11987.1,11.987,1
Creekside_2_2022-CASRF-000786,181,98,40.941384,-123.633526,11088.9,11.089,1
Crest_2022-CAPNF-001210,337,262,40.00057,-121.26713,7479.7,7.48,1
Crocker_2022-CAPNF-001409,368,325,39.874678,-120.457758,5194.5,5.194,1
DARBY_2022-CASTF-002132,556,288,38.16351,-120.374092,5760.3,5.76,1
DAVIES_2022-CATNF-001627,417,345,39.493755,-120.096294,5419.2,5.419,1
DAY_2022-CALMU-000005,207,287,41.179841,-121.357645,16572.3,16.572,1
DAY_2022-CALMU-006350,207,287,41.179841,-121.357645,16572.3,16.572,1
DECKER_CANYON_RD___ORTEGA_HY_2022-CARRU-089641,1110,443,33.631852,-117.426714,8434.4,8.434,1
DEER_2022-CAENF-021135,523,336,38.55404,-119.920405,13580.2,13.58,1
DEER_2022-CAMDF-000515,174,318,41.536018,-121.09316,13316.8,13.317,1
DEER_2022-CASQF-001940,821,434,36.153368,-118.12321,16693.3,16.693,1
DEER_HORN_2022-CAHIA-000336,170,120,41.091486,-123.414732,23554.6,23.555,1
DEER__2022-CAPNF-002173,373,279,39.728394,-120.970487,3608.0,3.608,1
DELONEGHA_2022-CASQF-001365,878,377,35.542533,-118.61907,9312.6,9.313,1
DELTA_2022-CAANF-002969,1022,380,34.286336,-118.276642,4184.0,4.184,1
DELTA_2022-CALAC-302214,1021,382,34.298985,-118.257352,3897.5,3.897,1
DEL_2022-CAANF-002424,981,348,34.583063,-118.706619,1368.4,1.368,1
DEMOCRAT_2022-CASQF-001150,877,380,35.55723,-118.588715,11623.7,11.624,1
DEVILS_2022-CAANF-003338,1031,424,34.291402,-117.787388,12029.8,12.03,1
DEXTER_2022-CAANF-002403,1019,374,34.301013,-118.347099,8766.8,8.767,1
DIAMOND_2022-CATNF-001258,422,291,39.3315,-120.697978,8650.0,8.65,1
